C3;TotalEdgeLength;EdgeMean;EdgeRatio;EdgeStdDev;
0,5699998;39,1952036619186;2,062905;3,013608;0,6032752;
0,5699998;39,1954429149628;2,062918;3,011332;0,6030201;
0,5699998;39,1952211856842;2,062906;3,013468;0,6032593;
0,5799997;39,3931419849396;2,073323;3,016998;0,6078931;
0,5799997;39,3897694349289;2,073146;3,036484;0,6091688;
0,5799997;39,3898068666458;2,073148;3,036401;0,6091613;
0,5799997;39,3926323652267;2,073296;3,025485;0,6083251;
0,5799997;39,3910704851151;2,073214;3,030181;0,6085114;
0,5899997;39,5846191644669;2,083401;3,051068;0,6142031;
0,5899997;39,5846191644669;2,083401;3,051068;0,6142031;
0,5899997;39,5834466218948;2,083339;3,054223;0,6144581;
0,5899997;39,5827485322952;2,083303;3,056718;0,6147244;
0,5899997;39,5865299701691;2,083502;3,041679;0,6136441;
0,5999997;39,7768243551254;2,093517;3,068933;0,6195782;
0,5999997;39,7723321914673;2,093281;3,082997;0,6210815;
0,5999997;39,7744002342224;2,09339;3,076826;0,6202294;
0,5999997;39,7725147008896;2,09329;3,08171;0,6208935;
0,5999997;39,7722901105881;2,093278;3,082894;0,6210632;
0,6099997;39,9602564573288;2,103172;3,106193;0,6270811;
0,6099997;39,9602478742599;2,103171;3,106196;0,6270818;
0,6099997;39,9648270606995;2,103412;3,096184;0,6258679;
0,6099997;39,9603259563446;2,103175;3,106081;0,6270648;
0,6099997;39,968311548233;2,103595;3,08446;0,6248057;
0,6199997;40,1556816101074;2,113457;3,108747;0,6305483;
0,6199997;40,1461908817291;2,112958;3,129317;0,6331328;
0,6199997;40,1461771726608;2,112957;3,129258;0,633123;
0,6199997;40,1500128507614;2,113159;3,12091;0,6318341;
0,6199997;40,1575667858124;2,113556;3,099899;0,6301307;
0,6299997;40,3392568826675;2,123119;3,13571;0,6366866;
0,6299997;40,3357416391373;2,122934;3,141788;0,6374804;
0,6299997;40,3416149616241;2,123243;3,132577;0,6364609;
0,6299997;40,3388829231262;2,123099;3,137578;0,6368159;
0,6299997;40,3430317640305;2,123317;3,126494;0,6359039;
0,6399997;40,5268130302429;2,13299;3,152755;0,6420424;
0,6399997;40,5268130302429;2,13299;3,152755;0,6420424;
0,6399997;40,5301780700684;2,133167;3,13943;0,6413018;
0,6399997;40,5170015096664;2,132474;3,17149;0,6445701;
0,6399997;40,5302083492279;2,133169;3,138661;0,6412635;
0,6499997;40,6926554441452;2,141719;3,196422;0,6512737;
0,6499997;40,7022796869278;2,142225;3,183132;0,6486843;
0,6499997;40,7139776945114;2,142841;3,158317;0,646632;
0,6499997;40,6999663114548;2,142103;3,190503;0,6498844;
0,6499997;40,6999663114548;2,142103;3,190503;0,6498844;
0,6599997;40,8953961133957;2,152389;3,181132;0,6518927;
0,6599997;40,8713314533234;2,151123;3,21785;0,6572597;
0,6599997;40,8929514884949;2,152261;3,191071;0,652695;
0,6599997;40,8853607177734;2,151861;3,201599;0,6538821;
0,6599997;40,8714021444321;2,151126;3,218114;0,6573021;
0,6699997;41,0753201246262;2,161859;3,202996;0,6571886;
0,6699997;41,0486716032028;2,160456;3,239305;0,6632674;
0,6699997;41,0681009292603;2,161479;3,218283;0,6588094;
0,6699997;41,0681009292603;2,161479;3,218283;0,6588094;
0,6699997;41,0703971385956;2,1616;3,21498;0,6583624;
0,6799996;41,2248106002808;2,169727;3,260433;0,6692191;
0,6799996;41,2455089092255;2,170816;3,241486;0,6647353;
0,6799996;41,2455022335052;2,170816;3,241543;0,664745;
0,6799996;41,2560924291611;2,171373;3,211574;0,6620349;
0,6799996;41,2560924291611;2,171373;3,211574;0,6620349;
0,6899996;41,4161512851715;2,179797;3,267035;0,6712813;
0,6899996;41,4101550579071;2,179482;3,270388;0,6722475;
0,6899996;41,4167120456696;2,179827;3,267194;0,6712939;
0,6899996;41,4154044389725;2,179758;3,267193;0,6713565;
0,6899996;41,4341425895691;2,180744;3,233021;0,6675268;
0,6999996;41,5797086954117;2,188406;3,293762;0,6787439;
